Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2004",,,,,,,,,,
(In thousands),,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total citizen,,,Total registered,,,Total voted,,
.Black alone,368,368,100,-,229,62.3,8.3,198,53.8,8.5
.Asian alone,22,10,(B),(B),5,(B),(B),5,(B),(B)
.Hispanic (of any race),182,118,64.8,15.1,57,31.5,14.6,41,22.6,13.2
.White alone or in combination,4133,4044,97.8,0.6,2784,67.4,2,2386,57.7,2.1
..White non-Hispanic alone or in combination,3950,3926,99.4,0.3,2726,69,2,2344,59.3,2.1
.Black alone or in combination ,376,376,100,-,233,62,8.2,202,53.7,8.4
.Asian alone or in combination,22,10,(B),(B),5,(B),(B),5,(B),(B)
IOWA,,,,,,,,,,
.Total,2212,2136,96.6,0.8,1674,75.7,1.8,1522,68.8,2
.Male,1073,1034,96.4,1.2,788,73.5,2.7,708,66,2.9
.Female,1139,1102,96.8,1.1,886,77.8,2.5,814,71.5,2.7
.White alone,2120,2061,97.2,0.7,1620,76.4,1.9,1473,69.5,2
..White non-Hispanic alone,2052,2038,99.3,0.4,1608,78.4,1.8,1463,71.3,2
.Black alone,37,36,(B),(B),24,(B),(B),23,(B),(B)
.Asian alone,27,15,(B),(B),11,(B),(B),11,(B),(B)
.Hispanic (of any race),69,24,(B),(B),13,(B),(B),12,(B),(B)
.White alone or in combination,2136,2077,97.3,0.7,1634,76.5,1.8,1484,69.5,2
..White non-Hispanic alone or in combination,2068,2055,99.3,0.4,1622,78.5,1.8,1474,71.3,2
.Black alone or in combination ,41,40,(B),(B),28,(B),(B),26,(B),(B)
.Asian alone or in combination,30,18,(B),(B),12,(B),(B),11,(B),(B)
KANSAS,,,,,,,,,,
.Total,1990,1851,93.1,1.1,1338,67.2,2.1,1188,59.7,2.2
.Male,970,896,92.4,1.7,633,65.3,3,554,57.1,3.1
.Female,1019,955,93.7,1.5,704,69.1,2.8,633,62.1,3
.White alone,1768,1671,94.5,1.1,1224,69.2,2.1,1101,62.2,2.3
..White non-Hispanic alone,1649,1624,98.5,0.6,1198,72.7,2.1,1076,65.3,2.3
.Black alone,99,97,(B),(B),64,(B),(B),53,(B),(B)
.Asian alone,73,34,(B),(B),14,(B),(B),11,(B),(B)
.Hispanic (of any race),132,55,41.6,13.2,30,22.7,11.2,28,21.5,11
.White alone or in combination,1803,1706,94.6,1,1250,69.3,2.1,1117,62,2.2
..White non-Hispanic alone or in combination,1682,1657,98.5,0.6,1223,72.7,2.1,1091,64.9,2.3
.Black alone or in combination ,102,100,98.3,3,66,64.3,11.2,54,52.6,11.7
.Asian alone or in combination,73,34,(B),(B),14,(B),(B),11,(B),(B)
KENTUCKY,,,,,,,,,,
.Total,3042,2969,97.6,0.7,2231,73.3,2.1,1930,63.4,2.2
.Male,1454,1407,96.8,1.2,1039,71.5,3,884,60.8,3.3
.Female,1588,1562,98.4,0.8,1192,75.1,2.8,1046,65.9,3.1
.White alone,2775,2729,98.4,0.6,2041,73.6,2.2,1765,63.6,2.3
..White non-Hispanic alone,2736,2709,99,0.5,2024,74,2.2,1749,63.9,2.4
.Black alone,204,198,97.2,3.6,158,77.3,9.1,140,68.5,10.1
.Asian alone,27,6,(B),(B),6,(B),(B),6,(B),(B)
.Hispanic (of any race),44,20,(B),(B),18,(B),(B),16,(B),(B)
.White alone or in combination,2799,2754,98.4,0.6,2061,73.6,2.1,1778,63.5,2.3
..White non-Hispanic alone or in combination,2760,2733,99,0.5,2044,74,2.1,1763,63.9,2.4
.Black alone or in combination ,205,200,97.2,3.6,158,76.8,9.2,140,68,10.1
.Asian alone or in combination,27,6,(B),(B),6,(B),(B),6,(B),(B)
LOUISIANA,,,,,,,,,,
.Total,3277,3218,98.2,0.7,2413,73.6,2.2,2067,63.1,2.4
.Male,1528,1502,98.3,1,1132,74.1,3.2,963,63,3.6
.Female,1749,1716,98.1,0.9,1281,73.2,3.1,1104,63.1,3.3
.White alone,2260,2210,97.8,0.9,1697,75.1,2.6,1446,64,2.9
..White non-Hispanic alone,2191,2180,99.5,0.4,1678,76.6,2.6,1430,65.2,2.9
.Black alone,976,966,99,1.1,693,71.1,5.1,606,62.1,5.4
.Asian alone,8,8,(B),(B),2,(B),(B),2,(B),(B)
.Hispanic (of any race),68,30,(B),(B),19,(B),(B),16,(B),(B)
.White alone or in combination,2272,2223,97.8,0.9,1709,75.2,2.6,1453,64,2.9
..White non-Hispanic alone or in combination,2204,2193,99.5,0.4,1690,76.7,2.6,1437,65.2,2.9
.Black alone or in combination ,985,976,99,1.1,703,71.3,5,613,62.2,5.4
.Asian alone or in combination,8,8,(B),(B),2,(B),(B),2,(B),(B)
MAINE,,,,,,,,,,
.Total,1022,1007,98.5,0.5,824,80.6,1.6,736,72,1.8
.Male,493,484,98.2,0.8,390,79,2.4,346,70.2,2.7
.Female,529,523,98.9,0.6,434,82.1,2.2,390,73.7,2.5
.White alone,990,977,98.7,0.5,799,80.7,1.6,714,72.1,1.8
..White non-Hispanic alone,984,970,98.7,0.5,793,80.6,1.6,708,72,1.9
.Black alone,8,8,(B),(B),6,(B),(B),5,(B),(B)
.Asian alone,9,7,(B),(B),6,(B),(B),5,(B),(B)
.Hispanic (of any race),9,9,(B),(B),7,(B),(B),7,(B),(B)
.White alone or in combination,1002,989,98.7,0.5,809,80.8,1.6,723,72.2,1.8
..White non-Hispanic alone or in combination,995,982,98.7,0.5,803,80.7,1.6,717,72,1.8
.Black alone or in combination ,8,8,(B),(B),6,(B),(B),5,(B),(B)
.Asian alone or in combination,9,8,(B),(B),6,(B),(B),5,(B),(B)
MARYLAND,,,,,,,,,,
.Total,4043,3678,91,1.2,2676,66.2,2,2413,59.7,2.1
.Male,1906,1699,89.2,1.9,1221,64.1,3,1112,58.3,3.1
.Female,2137,1978,92.6,1.5,1454,68.1,2.7,1301,60.9,2.9
.White alone,2737,2529,92.4,1.4,1913,69.9,2.4,1733,63.3,2.5
..White non-Hispanic alone,2504,2449,97.8,0.8,1868,74.6,2.4,1689,67.5,2.5
.Black alone,1070,990,92.6,2.6,668,62.4,4.9,598,55.9,5
.Asian alone,168,104,61.6,12.9,52,30.7,12.2,50,29.8,12.1
.Hispanic (of any race),282,100,35.4,12.2,58,20.6,10.3,53,19,10
.White alone or in combination,2777,2557,92.1,1.4,1934,69.7,2.4,1750,63,2.5
..White non-Hispanic alone or in combination,2531,2476,97.8,0.8,1889,74.6,2.4,1706,67.4,2.5
.Black alone or in combination ,1094,1002,91.6,2.8,676,61.8,4.8,604,55.2,5
.Asian alone or in combination,172,107,62.4,12.7,55,32.1,12.3,53,30.6,12.1
MASSACHUSETTS,,,,,,,,,,
.Total,4840,4497,92.9,1,3483,72,1.8,3085,63.7,1.9
.Male,2299,2115,92,1.5,1641,71.4,2.6,1429,62.2,2.8
.Female,2541,2382,93.7,1.3,1842,72.5,2.4,1656,65.2,2.6
.White alone,4297,4049,94.2,1,3234,75.3,1.8,2880,67,2
..White non-Hispanic alone,4046,3896,96.3,0.8,3131,77.4,1.8,2807,69.4,2
.Black alone,292,273,93.5,4.8,148,50.7,9.6,127,43.5,9.6
.Asian alone,199,128,64.1,11.7,76,38.2,11.8,59,29.4,11.1
.Hispanic (of any race),323,212,65.7,11.3,140,43.5,11.8,106,32.9,11.2
.White alone or in combination,4318,4065,94.2,1,3249,75.2,1.8,2894,67,1.9
..White non-Hispanic alone or in combination,4066,3913,96.2,0.8,3145,77.4,1.8,2822,69.4,2
.Black alone or in combination ,292,273,93.5,4.8,148,50.7,9.6,127,43.5,9.6
.Asian alone or in combination,210,138,65.9,11.3,85,40.3,11.7,67,32,11.1
MICHIGAN,,,,,,,,,,
.Total,7452,7177,96.3,0.6,5364,72,1.5,4818,64.7,1.6
.Male,3604,3451,95.7,1,2519,69.9,2.2,2261,62.7,2.3
.Female,3848,3726,96.8,0.8,2845,73.9,2,2558,66.5,2.2
.White alone,6163,6023,97.7,0.5,4526,73.4,1.6,4083,66.3,1.7
..White non-Hispanic alone,5984,5895,98.5,0.5,4462,74.6,1.6,4021,67.2,1.8
.Black alone,957,928,97,1.9,676,70.7,5.2,599,62.6,5.5
.Asian alone,173,73,42.3,13.7,41,23.7,11.8,37,21.2,11.4
.Hispanic (of any race),201,144,71.3,14.5,73,36.5,15.4,71,35.5,15.3
.White alone or in combination,6230,6090,97.8,0.5,4582,73.5,1.6,4128,66.3,1.7
..White non-Hispanic alone or in combination,6051,5962,98.5,0.4,4517,74.7,1.6,4066,67.2,1.7
.Black alone or in combination ,968,940,97.1,1.9,686,70.9,5.1,609,62.9,5.4
.Asian alone or in combination,180,80,44.6,13.5,48,26.7,12,44,24.2,11.7
MINNESOTA,,,,,,,,,,
.Total,3766,3645,96.8,0.7,3080,81.8,1.6,2887,76.7,1.8
.Male,1858,1792,96.5,1.1,1471,79.2,2.4,1374,74,2.6
.Female,1908,1853,97.1,1,1608,84.3,2.1,1513,79.3,2.4
.White alone,3435,3377,98.3,0.6,2884,83.9,1.6,2703,78.7,1.8
..White non-Hispanic alone,3333,3307,99.2,0.4,2835,85,1.6,2658,79.7,1.8
.Black alone,128,107,83.3,10.1,83,64.7,13,83,64.7,13
.Asian alone,137,96,70,12.6,69,50.4,13.7,56,41.1,13.5
.Hispanic (of any race),108,73,68,17.9,53,48.9,19.2,49,45.6,19.1
.White alone or in combination,3469,3410,98.3,0.6,2908,83.8,1.6,2728,78.6,1.8
..White non-Hispanic alone or in combination,3367,3341,99.2,0.4,2860,84.9,1.6,2683,79.7,1.8
.Black alone or in combination ,136,115,84.3,9.6,91,66.8,12.4,91,66.8,12.4
.Asian alone or in combination,142,101,71.1,12.2,72,50.5,13.5,59,41.6,13.3
MISSISSIPPI,,,,,,,,,,
.Total,2081,2049,98.4,0.7,1510,72.5,2.4,1263,60.7,2.6
.Male,972,954,98.2,1,677,69.6,3.6,538,55.4,3.8
.Female,1109,1094,98.7,0.8,833,75.1,3.1,725,65.4,3.4
.White alone,1335,1310,98.1,0.9,965,72.3,3,786,58.9,3.2
..White non-Hispanic alone,1288,1285,99.7,0.4,949,73.6,3,773,60,3.3
.Black alone,698,698,100,-,531,76.1,4.7,466,66.8,5.2
.Asian alone,8,-,(B),(B),-,(B),(B),-,(B),(B)
.Hispanic (of any race),46,25,(B),(B),16,(B),(B),12,(B),(B)
.White alone or in combination,1353,1328,98.2,0.9,974,72,2.9,795,58.7,3.2
..White non-Hispanic alone or in combination,1306,1302,99.7,0.4,958,73.3,3,782,59.9,3.3
.Black alone or in combination ,700,700,100,-,533,76.2,4.7,466,66.6,5.2
.Asian alone or in combination,8,-,(B),(B),-,(B),(B),-,(B),(B)
MISSOURI,,,,,,,,,,
.Total,4243,4106,96.8,0.8,3336,78.6,1.8,2815,66.3,2
.Male,2023,1933,95.6,1.3,1540,76.1,2.7,1299,64.2,3
.Female,2219,2173,97.9,0.9,1796,80.9,2.4,1516,68.3,2.8
.White alone,3636,3538,97.3,0.8,2865,78.8,1.9,2424,66.7,2.2
..White non-Hispanic alone,3544,3483,98.3,0.6,2822,79.6,1.9,2393,67.5,2.2
.Black alone,433,433,100,-,382,88.2,5.3,324,74.7,7.1
.Asian alone,55,27,(B),(B),13,(B),(B),13,(B),(B)
.Hispanic (of any race),115,68,58.8,20.3,50,43.3,20.5,35,30.1,18.9
.White alone or in combination,3702,3604,97.4,0.7,2917,78.8,1.9,2468,66.7,2.2
..White non-Hispanic alone or in combination,3610,3549,98.3,0.6,2874,79.6,1.9,2437,67.5,2.2
.Black alone or in combination ,455,455,100,-,399,87.6,5.3,335,73.6,7.1
